Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
07/09/2023,20:00,,BRTA,BRTB,,,,
07/09/2023,20:00,,COR,WIV,,,,
07/09/2023,20:00,,PEL,TR,,,,
07/09/2023,20:00,,MALB,MALA,,,,
07/09/2023,20:00,,PLOC,EAG,,,,
07/09/2023,20:00,,SKY,CAHA,,,,
14/09/2023,20:00,,BRTB,COR,,,,
14/09/2023,20:00,,CAHA,BRTA,,,,
14/09/2023,20:00,,EAG,SKY,,,,
14/09/2023,20:00,,MALA,PLOC,,,,
14/09/2023,20:00,,TR,MALB,,,,
14/09/2023,20:00,,WIV,PEL,,,,
21/09/2023,20:00,,BRTA,COR,,,,
21/09/2023,20:00,,CAHA,EAG,,,,
21/09/2023,20:00,,PEL,BRTB,,,,
21/09/2023,20:00,,MALB,WIV,,,,
21/09/2023,20:00,,PLOC,TR,,,,
21/09/2023,20:00,,SKY,MALA,,,,
28/09/2023,20:00,,BRTB,MALB,,,,
28/09/2023,20:00,,COR,PEL,,,,
28/09/2023,20:00,,EAG,BRTA,,,,
28/09/2023,20:00,,MALA,CAHA,,,,
28/09/2023,20:00,,TR,SKY,,,,
28/09/2023,20:00,,WIV,PLOC,,,,
05/10/2023,20:00,,BRTA,PEL,,,,
05/10/2023,20:00,,CAHA,TR,,,,
05/10/2023,20:00,,EAG,MALA,,,,
05/10/2023,20:00,,MALB,COR,,,,
05/10/2023,20:00,,PLOC,BRTB,,,,
05/10/2023,20:00,,SKY,WIV,,,,
19/10/2023,20:00,,BRTB,SKY,,,,
19/10/2023,20:00,,COR,PLOC,,,,
19/10/2023,20:00,,PEL,MALB,,,,
19/10/2023,20:00,,MALA,BRTA,,,,
19/10/2023,20:00,,TR,EAG,,,,
19/10/2023,20:00,,WIV,CAHA,,,,
26/10/2023,20:00,,BRTA,MALB,,,,
26/10/2023,20:00,,CAHA,BRTB,,,,
26/10/2023,20:00,,EAG,WIV,,,,
26/10/2023,20:00,,MALA,TR,,,,
26/10/2023,20:00,,PLOC,PEL,,,,
26/10/2023,20:00,,SKY,COR,,,,
09/11/2023,20:00,,BRTB,EAG,,,,
09/11/2023,20:00,,COR,CAHA,,,,
09/11/2023,20:00,,PEL,SKY,,,,
09/11/2023,20:00,,MALB,PLOC,,,,
09/11/2023,20:00,,TR,BRTA,,,,
09/11/2023,20:00,,WIV,MALA,,,,
16/11/2023,20:00,,BRTA,PLOC,,,,
16/11/2023,20:00,,CAHA,PEL,,,,
16/11/2023,20:00,,EAG,COR,,,,
16/11/2023,20:00,,MALA,BRTB,,,,
16/11/2023,20:00,,TR,WIV,,,,
16/11/2023,20:00,,SKY,MALB,,,,
30/11/2023,20:00,,BRTB,TR,,,,
30/11/2023,20:00,,COR,MALA,,,,
30/11/2023,20:00,,PEL,EAG,,,,
30/11/2023,20:00,,MALB,CAHA,,,,
30/11/2023,20:00,,PLOC,SKY,,,,
30/11/2023,20:00,,WIV,BRTA,,,,
07/12/2023,20:00,,BRTA,SKY,,,,
07/12/2023,20:00,,CAHA,PLOC,,,,
07/12/2023,20:00,,EAG,MALB,,,,
07/12/2023,20:00,,MALA,PEL,,,,
07/12/2023,20:00,,TR,COR,,,,
07/12/2023,20:00,,WIV,BRTB,,,,
14/12/2023,20:00,,BRTB,BRTA,,,,
14/12/2023,20:00,,CAHA,SKY,,,,
14/12/2023,20:00,,EAG,PLOC,,,,
14/12/2023,20:00,,MALA,MALB,,,,
14/12/2023,20:00,,TR,PEL,,,,
14/12/2023,20:00,,WIV,COR,,,,
11/01/2024,20:00,,BRTA,CAHA,,,,
11/01/2024,20:00,,COR,BRTB,,,,
11/01/2024,20:00,,PEL,WIV,,,,
