Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
02/09/2021,20:00,,BRTA,BRTB,,,,
02/09/2021,20:00,,TR,BRNA,,,,
02/09/2021,20:00,,STL,MALA,,,,
02/09/2021,20:00,,SKY,PEL,,,,
02/09/2021,20:00,,RAN,PLOC,,,,
02/09/2021,20:00,,PLOB,PLOA,,,,
02/09/2021,20:00,,PLOD,WIV,,,,
02/09/2021,20:00,,FID,EAG,,,,
02/09/2021,20:00,,MALB,COR,,,,
02/09/2021,20:00,,BRNB,TBH,,,,
09/09/2021,20:00,,BRTB,TR,,,,
09/09/2021,20:00,,TBH,BRTA,,,,
09/09/2021,20:00,,COR,BRNB,,,,
09/09/2021,20:00,,EAG,MALB,,,,
09/09/2021,20:00,,WIV,FID,,,,
09/09/2021,20:00,,PLOA,PLOD,,,,
09/09/2021,20:00,,PLOC,PLOB,,,,
09/09/2021,20:00,,PEL,RAN,,,,
09/09/2021,20:00,,MALA,SKY,,,,
09/09/2021,20:00,,BRNA,STL,,,,
16/09/2021,20:00,,BRTA,TR,,,,
16/09/2021,20:00,,TBH,COR,,,,
16/09/2021,20:00,,STL,BRTB,,,,
16/09/2021,20:00,,SKY,BRNA,,,,
16/09/2021,20:00,,RAN,MALA,,,,
16/09/2021,20:00,,PLOB,PEL,,,,
16/09/2021,20:00,,PLOD,PLOC,,,,
16/09/2021,20:00,,FID,PLOA,,,,
16/09/2021,20:00,,MALB,WIV,,,,
16/09/2021,20:00,,BRNB,EAG,,,,
23/09/2021,20:00,,BRTB,SKY,,,,
23/09/2021,20:00,,TR,STL,,,,
23/09/2021,20:00,,COR,BRTA,,,,
23/09/2021,20:00,,EAG,TBH,,,,
23/09/2021,20:00,,WIV,BRNB,,,,
23/09/2021,20:00,,PLOA,MALB,,,,
23/09/2021,20:00,,PLOC,FID,,,,
23/09/2021,20:00,,PEL,PLOD,,,,
23/09/2021,20:00,,MALA,PLOB,,,,
23/09/2021,20:00,,BRNA,RAN,,,,
30/09/2021,20:00,,BRTA,STL,,,,
30/09/2021,20:00,,TBH,WIV,,,,
30/09/2021,20:00,,COR,EAG,,,,
30/09/2021,20:00,,SKY,TR,,,,
30/09/2021,20:00,,RAN,BRTB,,,,
30/09/2021,20:00,,PLOB,BRNA,,,,
30/09/2021,20:00,,PLOD,MALA,,,,
30/09/2021,20:00,,FID,PEL,,,,
30/09/2021,20:00,,MALB,PLOC,,,,
30/09/2021,20:00,,BRNB,PLOA,,,,
07/10/2021,20:00,,BRTB,PLOB,,,,
07/10/2021,20:00,,TR,RAN,,,,
07/10/2021,20:00,,STL,SKY,,,,
07/10/2021,20:00,,EAG,BRTA,,,,
07/10/2021,20:00,,WIV,COR,,,,
07/10/2021,20:00,,PLOA,TBH,,,,
07/10/2021,20:00,,PLOC,BRNB,,,,
07/10/2021,20:00,,PEL,MALB,,,,
07/10/2021,20:00,,MALA,FID,,,,
07/10/2021,20:00,,BRNA,PLOD,,,,
14/10/2021,20:00,,BRTA,SKY,,,,
14/10/2021,20:00,,TBH,PLOC,,,,
14/10/2021,20:00,,COR,PLOA,,,,
14/10/2021,20:00,,EAG,WIV,,,,
14/10/2021,20:00,,RAN,STL,,,,
14/10/2021,20:00,,PLOB,TR,,,,
14/10/2021,20:00,,PLOD,BRTB,,,,
14/10/2021,20:00,,FID,BRNA,,,,
14/10/2021,20:00,,MALB,MALA,,,,
14/10/2021,20:00,,BRNB,PEL,,,,
21/10/2021,20:00,,BRTB,FID,,,,
21/10/2021,20:00,,TR,PLOD,,,,
21/10/2021,20:00,,STL,PLOB,,,,
21/10/2021,20:00,,SKY,RAN,,,,
21/10/2021,20:00,,WIV,BRTA,,,,
21/10/2021,20:00,,PLOA,EAG,,,,
21/10/2021,20:00,,PLOC,COR,,,,
21/10/2021,20:00,,PEL,TBH,,,,
21/10/2021,20:00,,MALA,BRNB,,,,
21/10/2021,20:00,,BRNA,MALB,,,,
28/10/2021,20:00,,BRTA,RAN,,,,
28/10/2021,20:00,,TBH,MALA,,,,
28/10/2021,20:00,,COR,PEL,,,,
28/10/2021,20:00,,EAG,PLOC,,,,
28/10/2021,20:00,,WIV,PLOA,,,,
28/10/2021,20:00,,PLOB,SKY,,,,
28/10/2021,20:00,,PLOD,STL,,,,
28/10/2021,20:00,,FID,TR,,,,
28/10/2021,20:00,,MALB,BRTB,,,,
28/10/2021,20:00,,BRNB,BRNA,,,,
04/11/2021,20:00,,BRTB,BRNB,,,,
04/11/2021,20:00,,TR,MALB,,,,
04/11/2021,20:00,,STL,FID,,,,
04/11/2021,20:00,,SKY,PLOD,,,,
04/11/2021,20:00,,RAN,PLOB,,,,
04/11/2021,20:00,,PLOA,BRTA,,,,
04/11/2021,20:00,,PLOC,WIV,,,,
04/11/2021,20:00,,PEL,EAG,,,,
04/11/2021,20:00,,MALA,COR,,,,
04/11/2021,20:00,,BRNA,TBH,,,,
11/11/2021,20:00,,BRTA,PLOB,,,,
11/11/2021,20:00,,TBH,BRTB,,,,
11/11/2021,20:00,,COR,BRNA,,,,
11/11/2021,20:00,,EAG,MALA,,,,
11/11/2021,20:00,,WIV,PEL,,,,
11/11/2021,20:00,,PLOA,PLOC,,,,
11/11/2021,20:00,,PLOD,RAN,,,,
11/11/2021,20:00,,FID,SKY,,,,
11/11/2021,20:00,,MALB,STL,,,,
11/11/2021,20:00,,BRNB,TR,,,,
18/11/2021,20:00,,BRTB,COR,,,,
18/11/2021,20:00,,TR,TBH,,,,
18/11/2021,20:00,,STL,BRNB,,,,
18/11/2021,20:00,,SKY,MALB,,,,
18/11/2021,20:00,,RAN,FID,,,,
18/11/2021,20:00,,PLOB,PLOD,,,,
18/11/2021,20:00,,PLOC,BRTA,,,,
18/11/2021,20:00,,PEL,PLOA,,,,
18/11/2021,20:00,,MALA,WIV,,,,
18/11/2021,20:00,,BRNA,EAG,,,,
02/12/2021,20:00,,BRTA,PLOD,,,,
02/12/2021,20:00,,TBH,STL,,,,
02/12/2021,20:00,,COR,TR,,,,
02/12/2021,20:00,,EAG,BRTB,,,,
02/12/2021,20:00,,WIV,BRNA,,,,
02/12/2021,20:00,,PLOA,MALA,,,,
02/12/2021,20:00,,PLOC,PEL,,,,
02/12/2021,20:00,,FID,PLOB,,,,
02/12/2021,20:00,,MALB,RAN,,,,
02/12/2021,20:00,,BRNB,SKY,,,,
09/12/2021,20:00,,BRTB,WIV,,,,
09/12/2021,20:00,,TR,EAG,,,,
09/12/2021,20:00,,STL,COR,,,,
09/12/2021,20:00,,SKY,TBH,,,,
09/12/2021,20:00,,RAN,BRNB,,,,
09/12/2021,20:00,,PLOB,MALB,,,,
09/12/2021,20:00,,PLOD,FID,,,,
09/12/2021,20:00,,PEL,BRTA,,,,
09/12/2021,20:00,,MALA,PLOC,,,,
09/12/2021,20:00,,BRNA,PLOA,,,,
16/12/2021,20:00,,BRTA,FID,,,,
16/12/2021,20:00,,TBH,RAN,,,,
16/12/2021,20:00,,COR,SKY,,,,
16/12/2021,20:00,,EAG,STL,,,,
16/12/2021,20:00,,WIV,TR,,,,
16/12/2021,20:00,,PLOA,BRTB,,,,
16/12/2021,20:00,,PLOC,BRNA,,,,
16/12/2021,20:00,,PEL,MALA,,,,
16/12/2021,20:00,,MALB,PLOD,,,,
16/12/2021,20:00,,BRNB,PLOB,,,,
06/01/2022,20:00,,BRTB,PLOC,,,,
06/01/2022,20:00,,TR,PLOA,,,,
06/01/2022,20:00,,STL,WIV,,,,
06/01/2022,20:00,,SKY,EAG,,,,
06/01/2022,20:00,,RAN,COR,,,,
06/01/2022,20:00,,PLOB,TBH,,,,
06/01/2022,20:00,,PLOD,BRNB,,,,
06/01/2022,20:00,,FID,MALB,,,,
06/01/2022,20:00,,MALA,BRTA,,,,
06/01/2022,20:00,,BRNA,PEL,,,,
20/01/2022,20:00,,BRTA,MALB,,,,
20/01/2022,20:00,,TBH,PLOD,,,,
20/01/2022,20:00,,COR,PLOB,,,,
20/01/2022,20:00,,EAG,RAN,,,,
