Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
08/09/2022,20:00,,BRTA,BRTB,,,,
08/09/2022,20:00,,EAG,PEL,,,,
08/09/2022,20:00,,SKY,PLOB,,,,
08/09/2022,20:00,,PLOC,TR,,,,
08/09/2022,20:00,,PLOD,COR,,,,
08/09/2022,20:00,,MALB,BRNA,,,,
15/09/2022,20:00,,BRTB,EAG,,,,
15/09/2022,20:00,,BRNA,BRTA,,,,
15/09/2022,20:00,,COR,MALB,,,,
15/09/2022,20:00,,TR,PLOD,,,,
15/09/2022,20:00,,PLOB,PLOC,,,,
15/09/2022,20:00,,PEL,SKY,,,,
22/09/2022,20:00,,BRTA,EAG,,,,
22/09/2022,20:00,,BRNA,COR,,,,
22/09/2022,20:00,,SKY,BRTB,,,,
22/09/2022,20:00,,PLOC,PEL,,,,
22/09/2022,20:00,,PLOD,PLOB,,,,
22/09/2022,20:00,,MALB,TR,,,,
29/09/2022,20:00,,BRTB,PLOC,,,,
29/09/2022,20:00,,EAG,SKY,,,,
29/09/2022,20:00,,COR,BRTA,,,,
29/09/2022,20:00,,TR,BRNA,,,,
29/09/2022,20:00,,PLOB,MALB,,,,
29/09/2022,20:00,,PEL,PLOD,,,,
06/10/2022,20:00,,BRTA,SKY,,,,
06/10/2022,20:00,,BRNA,PLOB,,,,
06/10/2022,20:00,,COR,TR,,,,
06/10/2022,20:00,,PLOC,EAG,,,,
06/10/2022,20:00,,PLOD,BRTB,,,,
06/10/2022,20:00,,MALB,PEL,,,,
13/10/2022,20:00,,BRTB,MALB,,,,
13/10/2022,20:00,,EAG,PLOD,,,,
13/10/2022,20:00,,SKY,PLOC,,,,
13/10/2022,20:00,,TR,BRTA,,,,
13/10/2022,20:00,,PLOB,COR,,,,
13/10/2022,20:00,,PEL,BRNA,,,,
20/10/2022,20:00,,BRTA,PLOC,,,,
20/10/2022,20:00,,BRNA,BRTB,,,,
20/10/2022,20:00,,COR,PEL,,,,
20/10/2022,20:00,,TR,PLOB,,,,
20/10/2022,20:00,,PLOD,SKY,,,,
20/10/2022,20:00,,MALB,EAG,,,,
27/10/2022,20:00,,BRTB,COR,,,,
27/10/2022,20:00,,EAG,BRNA,,,,
27/10/2022,20:00,,SKY,MALB,,,,
27/10/2022,20:00,,PLOC,PLOD,,,,
27/10/2022,20:00,,PLOB,BRTA,,,,
27/10/2022,20:00,,PEL,TR,,,,
10/11/2022,20:00,,BRTA,PLOD,,,,
10/11/2022,20:00,,BRNA,SKY,,,,
10/11/2022,20:00,,COR,EAG,,,,
10/11/2022,20:00,,TR,BRTB,,,,
10/11/2022,20:00,,PLOB,PEL,,,,
10/11/2022,20:00,,MALB,PLOC,,,,
17/11/2022,20:00,,BRTB,PLOB,,,,
17/11/2022,20:00,,EAG,TR,,,,
17/11/2022,20:00,,SKY,COR,,,,
17/11/2022,20:00,,PLOC,BRNA,,,,
17/11/2022,20:00,,PLOD,MALB,,,,
17/11/2022,20:00,,PEL,BRTA,,,,
24/11/2022,20:00,,BRTA,MALB,,,,
24/11/2022,20:00,,BRNA,PLOD,,,,
24/11/2022,20:00,,COR,PLOC,,,,
24/11/2022,20:00,,TR,SKY,,,,
24/11/2022,20:00,,PLOB,EAG,,,,
24/11/2022,20:00,,PEL,BRTB,,,,
08/12/2022,20:00,,BRTB,BRTA,,,,
08/12/2022,20:00,,BRNA,MALB,,,,
08/12/2022,20:00,,COR,PLOD,,,,
08/12/2022,20:00,,TR,PLOC,,,,
08/12/2022,20:00,,PLOB,SKY,,,,
08/12/2022,20:00,,PEL,EAG,,,,
15/12/2022,20:00,,BRTA,BRNA,,,,
15/12/2022,20:00,,EAG,BRTB,,,,
15/12/2022,20:00,,SKY,PEL,,,,
15/12/2022,20:00,,PLOC,PLOB,,,,
15/12/2022,20:00,,PLOD,TR,,,,
15/12/2022,20:00,,MALB,COR,,,,
05/01/2023,20:00,,BRTB,SKY,,,,
05/01/2023,20:00,,EAG,BRTA,,,,
05/01/2023,20:00,,COR,BRNA,,,,
05/01/2023,20:00,,TR,MALB,,,,
05/01/2023,20:00,,PLOB,PLOD,,,,
