Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
08/09/2022,20:00,,RAN,PLOE,,,12,0
15/09/2022,20:00,,MALA,RAN,,,8,4
22/09/2022,20:00,,RAN,CAHB,,,6,6
29/09/2022,20:00,,BRNB,RAN,,,7,5
06/10/2022,20:00,,TBH,RAN,,,6,6
13/10/2022,20:00,,RAN,WIV,,,5,7
20/10/2022,20:00,,PLOA,RAN,,,6,6
10/11/2022,20:00,,NGH,RAN,,,3,9
17/11/2022,20:00,,RAN,AZB,,,12,0
24/11/2022,20:00,,STL,RAN,,,9,3
08/12/2022,20:00,,PLOE,RAN,,,6,6
15/12/2022,20:00,,RAN,MALA,,,3,9
05/01/2023,20:00,,CAHB,RAN,,,5,7
12/01/2023,20:00,,RAN,BRNB,,,7,5
26/01/2023,20:00,,RAN,TBH,,,4,8
02/02/2023,20:00,,WIV,RAN,,,10,2
09/02/2023,20:00,,RAN,PLOA,,,7,5
02/03/2023,20:00,,RAN,NGH,,,6,6
16/03/2023,20:00,,AZB,RAN,,,7,5
30/03/2023,20:00,,RAN,STL,,,4,8
13/04/2023,20:00,,RAN,PLOE,,,9,3
20/04/2023,20:00,,MALA,RAN,,,10,2
04/05/2023,20:00,,RAN,CAHB,,,8,4
11/05/2023,20:00,,BRNB,RAN,,,7,5
25/05/2023,20:00,,TBH,RAN,,,5,7
01/06/2023,20:00,,RAN,WIV,,,6,6
15/06/2023,20:00,,PLOA,RAN,,,4,8
06/07/2023,20:00,,NGH,RAN,,,4,8
13/07/2023,20:00,,RAN,AZB,,,6,6
20/07/2023,20:00,,STL,RAN,,,6,6
